Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_scaled,NA_ratio,EU_ratio,JP_ratio,Other_ratio,Platform_Gen,Genre_encoded,Platform_Gen_encoded,Era,Cluster_K2,Cluster_K3
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo,E,80.0,0.5011510965648716,0.3509027020434884,0.0456803586569043,0.1023870107827167,7th-gen,10,2,7th gen (03–10),1.0,2.0
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,,,,0.7226640158866137,0.0889662027810893,0.1692345924411224,0.0191351888663236,Retro,4,7,Retro (≤94),1.0,0.0
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E,83.0,0.4414414414290135,0.3592342342241206,0.1067004504474465,0.0926238738712662,7th-gen,6,2,7th gen (03–10),1.0,2.0
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo,E,80.0,0.4763503204004775,0.3335367714271121,0.1000915471437262,0.0900213609981684,7th-gen,10,2,7th gen (03–10),1.0,2.0
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,,,,0.3592604398992903,0.2833917755727322,0.3257889703434559,0.0318775900531757,Retro,7,7,5th–6th gen (95–02),1.0,2.0
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,,,,,0.7666886979257538,0.0746860541944915,0.1394580303985638,0.0191672174481438,Retro,5,7,Retro (≤94),1.0,0.0
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo,E,85.0,0.3785234899201837,0.3067114093856808,0.218120805361808,0.0966442952987703,7th-gen,4,2,7th gen (03–10),1.0,2.0
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E,66.0,0.4827109266776379,0.3174273858811401,0.1013139695677277,0.0982019363728145,7th-gen,3,2,7th gen (03–10),1.0,2.0
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E,84.0,0.509887005631713,0.2450564971664881,0.1659604519715409,0.0790960451949471,7th-gen,4,2,7th gen (03–10),1.0,0.0
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,,,0.9512539738272252,0.022253620627967,0.0098904980568742,0.0166019074526103,Retro,8,7,Retro (≤94),1.0,0.0
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,,,,0.3668423185907238,0.4438589379633619,0.0782326712574692,0.1110660721479097,7th-gen,9,2,7th gen (03–10),1.0,2.0
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo,E,86.0,0.4183541576726258,0.32184403273064,0.1779405428617862,0.0818612666918629,7th-gen,6,2,7th gen (03–10),1.0,2.0
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,,,,0.3896103895935233,0.267532467520886,0.3116883116748187,0.0307359307346001,Retro,7,7,5th–6th gen (95–02),1.0,0.0
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E,77.0,0.3929515418329096,0.353744493376487,0.1585903083630577,0.0947136563834927,7th-gen,10,2,7th gen (03–10),1.0,2.0
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,63.0,0.6877579091844219,0.2242090783941215,0.0110041265469507,0.0774873911014448,7th-gen,3,2,7th gen (03–10),1.0,0.0
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E,74.0,0.413492427700161,0.3896282698306733,0.1161083065573149,0.0812299219788329,7th-gen,10,2,7th gen (03–10),1.0,2.0
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,82.0,0.3336501900982105,0.4320342205117854,0.046577946765847,0.1882129277477085,7th-gen,0,2,8th gen (11+),1.0,2.0
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North,M,90.0,0.4531475252064801,0.0192215281105611,0.0197020663133252,0.5079288803215797,6th-gen,0,1,7th gen (03–10),1.0,2.0
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,,,0.6200873362144548,0.1819505094525982,0.1717612809232527,0.0266860747197144,Retro,4,7,Retro (≤94),1.0,0.0
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,E,79.0,0.2352357319982513,0.4565756823594751,0.20645161289298,0.1012406947840575,7th-gen,3,2,7th gen (03–10),1.0,2.0
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,,,0.3495890410767348,0.2443835616304447,0.3309589040914543,0.0745205479411221,7th-gen,7,2,7th gen (03–10),1.0,2.0
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,,,,0.5970231532195687,0.1493936052839364,0.2304299889619387,0.0231532524794292,Retro,4,7,Retro (≤94),1.0,0.0
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,,,0.5520833333013839,0.1990740740625535,0.2222222222093621,0.0266203703688298,Retro,4,7,Retro (≤94),1.0,0.0
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,81.0,0.5937307928338211,0.3159188690647868,0.0036877688995889,0.0866625691403403,7th-gen,0,2,8th gen (11+),1.0,2.0
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,87.0,0.5207430340234834,0.3399380804743073,0.0291021671808605,0.1102167182594293,6th-gen,0,1,5th–6th gen (95–02),1.0,2.0
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,,,0.3823343848339221,0.2460567823188607,0.3394321766347361,0.0315457413229308,6th-gen,7,1,5th–6th gen (95–02),1.0,0.0
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,E,71.0,0.2243296271926534,0.3499018966416022,0.3479398299314624,0.0771746239321664,7th-gen,5,2,7th gen (03–10),1.0,2.0
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,,,0.3639365917857373,0.2093791281235548,0.3731836195262098,0.0528401585169854,7th-gen,7,2,7th gen (03–10),1.0,0.0
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,84.0,0.4572763684607959,0.3397863818197739,0.1248331108060859,0.0774365821043099,6th-gen,6,1,5th–6th gen (95–02),1.0,2.0
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,34.0,0.6137135098021919,0.2878479293762493,0.0088255261365359,0.0896130346171342,7th-gen,8,2,8th gen (11+),1.0,0.0
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,,0.4023224043441036,0.344262295058452,0.2131147540838036,0.0403005464453346,Retro,7,7,5th–6th gen (95–02),1.0,2.0
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,,0.4121667805596605,0.4005468215720747,0.024606971973711,0.1626794258262009,8th-gen,8,3,8th gen (11+),1.0,2.0
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,63.0,0.6639288158340911,0.2518822723989129,0.0075290896640979,0.0773442847311879,7th-gen,8,2,7th gen (03–10),1.0,0.0
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,,0.3616438355916682,0.2869863013502065,0.2979452054590448,0.0534246575305873,8th-gen,7,3,8th gen (11+),1.0,2.0
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,53.0,0.3618564176677407,0.4155184916304918,0.0471356055078219,0.1754894851214293,7th-gen,8,2,8th gen (11+),1.0,2.0
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,48.0,0.60351133865373,0.3101682516232503,0.0051207022673649,0.0819312362778397,7th-gen,8,2,8th gen (11+),1.0,0.0
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,63.0,0.6325167037392341,0.2665181885474003,0.0059391239787721,0.0950259836603544,7th-gen,8,2,7th gen (03–10),1.0,0.0
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,32.0,0.415915915884691,0.4301801801478844,0.036786786784025,0.1178678678590189,7th-gen,8,2,8th gen (11+),1.0,2.0
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,85.0,0.5335877862188101,0.3442748091340248,0.0229007633570304,0.0992366412137987,6th-gen,0,1,5th–6th gen (95–02),1.0,2.0
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,89.0,0.5155763239473851,0.1985981308256543,0.2071651090181335,0.0786604361309454,7th-gen,2,2,7th gen (03–10),1.0,0.0
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,82.0,0.3973143759559783,0.3175355449986148,0.2124802527478293,0.071879936803169,8th-gen,6,3,8th gen (11+),1.0,2.0
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,64.0,0.4742676167478806,0.3460015835038795,0.0380047505908151,0.1417260490782481,7th-gen,8,2,7th gen (03–10),1.0,2.0
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,83.0,0.3140364789600288,0.5003965106661066,0.0301348136375785,0.1562252180684992,8th-gen,0,3,8th gen (11+),1.0,2.0
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,87.0,0.2061005770646248,0.2844187963491822,0.4394064303017801,0.0708985985102309,7th-gen,9,2,7th gen (03–10),1.0,2.0
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,78.0,0.657590759021651,0.2318481847993524,0.0107260726063757,0.0998349834901126,7th-gen,8,2,7th gen (03–10),1.0,0.0
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,,,0.5811606391437207,0.2396972245382929,0.1606391925853121,0.0193439865416867,5th-gen,4,0,5th–6th gen (95–02),1.0,0.0
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,,,0.3687340696373208,0.2302463891053316,0.3364485981022558,0.0645709430701299,7th-gen,0,2,7th gen (03–10),1.0,2.0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,,,0.3724315068174287,0.2988013698374314,0.265410958881386,0.0633561643781373,8th-gen,7,3,8th gen (11+),1.0,2.0
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,85.0,0.2581475128423544,0.000857632933031,0.0943396226334185,0.6457975985724016,6th-gen,6,1,7th gen (03–10),1.0,2.0
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,89.0,0.5339207047987735,0.2951541849960217,0.1057268722373808,0.0651982378797182,7th-gen,4,2,7th gen (03–10),1.0,0.0
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,,0.5509838997718262,0.18246869408028,0.2406082289588006,0.0259391770996476,Retro,1,7,Retro (≤94),1.0,0.0
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,79.0,0.6139872842312455,0.278837420501468,0.0127157129870376,0.0935513169760625,7th-gen,0,2,7th gen (03–10),1.0,0.0
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,87.0,0.3671232876377056,0.3534246575019704,0.2319634702984508,0.0474885844705489,5th-gen,6,0,5th–6th gen (95–02),1.0,2.0
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,84.0,0.4523589268776726,0.277520814035382,0.1979648473452391,0.0721554116491993,8th-gen,4,3,8th gen (11+),1.0,2.0
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,75.0,0.2766355139928378,0.4504672896775265,0.0757009345723644,0.1971962616638134,7th-gen,6,2,7th gen (03–10),1.0,2.0
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,63.0,0.4707547169367213,0.3433962263826985,0.0358490566003916,0.1509433962121751,7th-gen,8,2,7th gen (03–10),1.0,2.0
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,,0.5677725117945239,0.203791469174996,0.200947867279531,0.0274881516561622,Retro,4,7,Retro (≤94),1.0,0.0
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,75.0,0.4533333332901587,0.351428571395102,0.0419047619007709,0.1533333333187301,7th-gen,0,2,7th gen (03–10),1.0,2.0
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,,0.4137273593504549,0.2526215443038492,0.3002859866253302,0.0333651096250366,6th-gen,7,1,7th gen (03–10),1.0,0.0
Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,,,0.4864077669430671,0.2980582523982467,0.1213592232891884,0.0941747572724102,7th-gen,4,2,7th gen (03–10),1.0,2.0
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,26.0,0.6565853657896015,0.2497560975366091,0.0039024390240095,0.0887804877962165,7th-gen,8,2,8th gen (11+),1.0,0.0
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,78.0,0.5879446639735233,0.30731225293406,0.0,0.1047430829936024,7th-gen,3,2,8th gen (11+),1.0,2.0
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,72.0,0.3696969696596265,0.3171717171396796,0.2494949494697479,0.0636363636299357,8th-gen,4,3,8th gen (11+),1.0,2.0
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,,0.5623100303381652,0.1965552178118991,0.2259371833611006,0.0151975683875179,5th-gen,6,0,5th–6th gen (95–02),1.0,0.0
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,79.0,0.7139959431324548,0.1977687626574271,0.0081135902628688,0.0801217038458294,7th-gen,8,2,7th gen (03–10),1.0,0.0
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,92.0,0.3096707818611449,0.254115226311305,0.3374485596360649,0.0987654320886043,5th-gen,7,0,5th–6th gen (95–02),1.0,2.0
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,M,70.0,0.6848609680036188,0.2348094747440978,0.0041194644691946,0.0762100926801019,7th-gen,8,2,8th gen (11+),1.0,0.0
