Global_Sales,NA_ratio,EU_ratio,JP_ratio,Name,Genre,Platform,Year_of_Release,DBSCAN_label
82.53,0.5011510965648716,0.3509027020434884,0.0456803586569043,Wii Sports,Sports,Wii,2006,-1
40.24,0.7226640158866137,0.0889662027810893,0.1692345924411224,Super Mario Bros.,Platform,NES,1985,-1
35.52,0.4414414414290135,0.3592342342241206,0.1067004504474465,Mario Kart Wii,Racing,Wii,2008,-1
32.77,0.4763503204004775,0.3335367714271121,0.1000915471437262,Wii Sports Resort,Sports,Wii,2009,-1
31.37,0.3592604398992903,0.2833917755727322,0.3257889703434559,Pokemon Red/Pokemon Blue,Role-Playing,GB,1996,-1
30.26,0.7666886979257538,0.0746860541944915,0.1394580303985638,Tetris,Puzzle,GB,1989,-1
29.8,0.3785234899201837,0.3067114093856808,0.218120805361808,New Super Mario Bros.,Platform,DS,2006,-1
28.92,0.4827109266776379,0.3174273858811401,0.1013139695677277,Wii Play,Misc,Wii,2006,-1
28.32,0.509887005631713,0.2450564971664881,0.1659604519715409,New Super Mario Bros. Wii,Platform,Wii,2009,-1
28.31,0.9512539738272252,0.022253620627967,0.0098904980568742,Duck Hunt,Shooter,NES,1984,-1
24.67,0.3668423185907238,0.4438589379633619,0.0782326712574692,Nintendogs,Simulation,DS,2005,-1
23.21,0.4183541576726258,0.32184403273064,0.1779405428617862,Mario Kart DS,Racing,DS,2005,-1
23.1,0.3896103895935233,0.267532467520886,0.3116883116748187,Pokemon Gold/Pokemon Silver,Role-Playing,GB,1999,-1
22.7,0.3929515418329096,0.353744493376487,0.1585903083630577,Wii Fit,Sports,Wii,2007,-1
21.81,0.6877579091844219,0.2242090783941215,0.0110041265469507,Kinect Adventures!,Misc,X360,2010,-1
21.79,0.413492427700161,0.3896282698306733,0.1161083065573149,Wii Fit Plus,Sports,Wii,2009,-1
21.04,0.3336501900982105,0.4320342205117854,0.046577946765847,Grand Theft Auto V,Action,PS3,2013,-1
20.81,0.4531475252064801,0.0192215281105611,0.0197020663133252,Grand Theft Auto: San Andreas,Action,PS2,2004,-1
20.61,0.6200873362144548,0.1819505094525982,0.1717612809232527,Super Mario World,Platform,SNES,1990,-1
20.15,0.2352357319982513,0.4565756823594751,0.20645161289298,Brain Age: Train Your Brain in Minutes a Day,Misc,DS,2005,-1
18.25,0.3495890410767348,0.2443835616304447,0.3309589040914543,Pokemon Diamond/Pokemon Pearl,Role-Playing,DS,2006,-1
18.14,0.5970231532195687,0.1493936052839364,0.2304299889619387,Super Mario Land,Platform,GB,1989,-1
17.28,0.5520833333013839,0.1990740740625535,0.2222222222093621,Super Mario Bros. 3,Platform,NES,1988,-1
16.27,0.5937307928338211,0.3159188690647868,0.0036877688995889,Grand Theft Auto V,Action,X360,2013,-1
16.15,0.5207430340234834,0.3399380804743073,0.0291021671808605,Grand Theft Auto: Vice City,Action,PS2,2002,-1
15.85,0.3823343848339221,0.2460567823188607,0.3394321766347361,Pokemon Ruby/Pokemon Sapphire,Role-Playing,GBA,2002,-1
15.29,0.2243296271926534,0.3499018966416022,0.3479398299314624,Brain Age 2: More Training in Minutes a Day,Puzzle,DS,2005,-1
15.14,0.3639365917857373,0.2093791281235548,0.3731836195262098,Pokemon Black/Pokemon White,Role-Playing,DS,2010,-1
14.98,0.4572763684607959,0.3397863818197739,0.1248331108060859,Gran Turismo 3: A-Spec,Racing,PS2,2001,-1
14.73,0.6137135098021919,0.2878479293762493,0.0088255261365359,Call of Duty: Modern Warfare 3,Shooter,X360,2011,-1
14.64,0.4023224043441036,0.344262295058452,0.2131147540838036,Pokémon Yellow: Special Pikachu Edition,Role-Playing,GB,1998,-1
14.63,0.4121667805596605,0.4005468215720747,0.024606971973711,Call of Duty: Black Ops 3,Shooter,PS4,2015,-1
14.61,0.6639288158340911,0.2518822723989129,0.0075290896640979,Call of Duty: Black Ops,Shooter,X360,2010,-1
14.6,0.3616438355916682,0.2869863013502065,0.2979452054590448,Pokemon X/Pokemon Y,Role-Playing,3DS,2013,-1
13.79,0.3618564176677407,0.4155184916304918,0.0471356055078219,Call of Duty: Black Ops II,Shooter,PS3,2012,-1
13.67,0.60351133865373,0.3101682516232503,0.0051207022673649,Call of Duty: Black Ops II,Shooter,X360,2012,-1
13.47,0.6325167037392341,0.2665181885474003,0.0059391239787721,Call of Duty: Modern Warfare 2,Shooter,X360,2009,-1
13.32,0.415915915884691,0.4301801801478844,0.036786786784025,Call of Duty: Modern Warfare 3,Shooter,PS3,2011,-1
13.1,0.5335877862188101,0.3442748091340248,0.0229007633570304,Grand Theft Auto III,Action,PS2,2001,-1
12.84,0.5155763239473851,0.1985981308256543,0.2071651090181335,Super Smash Bros. Brawl,Fighting,Wii,2008,-1
12.66,0.3973143759559783,0.3175355449986148,0.2124802527478293,Mario Kart 7,Racing,3DS,2011,-1
12.63,0.4742676167478806,0.3460015835038795,0.0380047505908151,Call of Duty: Black Ops,Shooter,PS3,2010,-1
12.61,0.3140364789600288,0.5003965106661066,0.0301348136375785,Grand Theft Auto V,Action,PS4,2014,-1
12.13,0.2061005770646248,0.2844187963491822,0.4394064303017801,Animal Crossing: Wild World,Simulation,DS,2005,-1
12.12,0.657590759021651,0.2318481847993524,0.0107260726063757,Halo 3,Shooter,X360,2007,-1
11.89,0.5811606391437207,0.2396972245382929,0.1606391925853121,Super Mario 64,Platform,N64,1996,-1
11.77,0.3687340696373208,0.2302463891053316,0.3364485981022558,Pokemon HeartGold/Pokemon SoulSilver,Action,DS,2009,-1
11.68,0.3724315068174287,0.2988013698374314,0.265410958881386,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,3DS,2014,-1
11.66,0.2581475128423544,0.000857632933031,0.0943396226334185,Gran Turismo 4,Racing,PS2,2004,-1
11.35,0.5339207047987735,0.2951541849960217,0.1057268722373808,Super Mario Galaxy,Platform,Wii,2007,-1
11.18,0.5509838997718262,0.18246869408028,0.2406082289588006,Super Mario Land 2: 6 Golden Coins,Adventure,GB,1992,-1
11.01,0.6139872842312455,0.278837420501468,0.0127157129870376,Grand Theft Auto IV,Action,X360,2008,-1
10.95,0.3671232876377056,0.3534246575019704,0.2319634702984508,Gran Turismo,Racing,PS,1997,-1
10.81,0.4523589268776726,0.277520814035382,0.1979648473452391,Super Mario 3D Land,Platform,3DS,2011,-1
10.7,0.2766355139928378,0.4504672896775265,0.0757009345723644,Gran Turismo 5,Racing,PS3,2010,-1
10.6,0.4707547169367213,0.3433962263826985,0.0358490566003916,Call of Duty: Modern Warfare 2,Shooter,PS3,2009,-1
10.55,0.5677725117945239,0.203791469174996,0.200947867279531,Super Mario All-Stars,Platform,SNES,1993,-1
10.5,0.4533333332901587,0.351428571395102,0.0419047619007709,Grand Theft Auto IV,Action,PS3,2008,-1
10.49,0.4137273593504549,0.2526215443038492,0.3002859866253302,Pokemon FireRed/Pokemon LeafGreen,Role-Playing,GBA,2004,-1
10.3,0.4864077669430671,0.2980582523982467,0.1213592232891884,Super Mario 64,Platform,DS,2004,-1
10.25,0.6565853657896015,0.2497560975366091,0.0039024390240095,Call of Duty: Ghosts,Shooter,X360,2013,-1
10.12,0.5879446639735233,0.30731225293406,0.0,Just Dance 3,Misc,Wii,2011,-1
9.9,0.3696969696596265,0.3171717171396796,0.2494949494697479,New Super Mario Bros. 2,Platform,3DS,2012,-1
9.87,0.5623100303381652,0.1965552178118991,0.2259371833611006,Mario Kart 64,Racing,N64,1996,-1
9.86,0.7139959431324548,0.1977687626574271,0.0081135902628688,Halo: Reach,Shooter,X360,2010,-1
9.72,0.3096707818611449,0.254115226311305,0.3374485596360649,Final Fantasy VII,Role-Playing,PS,1997,-1
9.71,0.6848609680036188,0.2348094747440978,0.0041194644691946,Halo 4,Shooter,X360,2012,-1
