Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_scaled,NA_ratio,EU_ratio,JP_ratio,Other_ratio,Platform_Gen,Genre_encoded,Platform_Gen_encoded,Era,DBSCAN_label
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo,E,80.0,0.5011510965648716,0.3509027020434884,0.0456803586569043,0.1023870107827167,7th-gen,10,2,7th gen (03–10),0
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E,83.0,0.4414414414290135,0.3592342342241206,0.1067004504474465,0.0926238738712662,7th-gen,6,2,7th gen (03–10),0
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo,E,80.0,0.4763503204004775,0.3335367714271121,0.1000915471437262,0.0900213609981684,7th-gen,10,2,7th gen (03–10),0
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo,E,85.0,0.3785234899201837,0.3067114093856808,0.218120805361808,0.0966442952987703,7th-gen,4,2,7th gen (03–10),0
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E,66.0,0.4827109266776379,0.3174273858811401,0.1013139695677277,0.0982019363728145,7th-gen,3,2,7th gen (03–10),0
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E,84.0,0.509887005631713,0.2450564971664881,0.1659604519715409,0.0790960451949471,7th-gen,4,2,7th gen (03–10),0
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo,E,86.0,0.4183541576726258,0.32184403273064,0.1779405428617862,0.0818612666918629,7th-gen,6,2,7th gen (03–10),0
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E,77.0,0.3929515418329096,0.353744493376487,0.1585903083630577,0.0947136563834927,7th-gen,10,2,7th gen (03–10),0
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,63.0,0.6877579091844219,0.2242090783941215,0.0110041265469507,0.0774873911014448,7th-gen,3,2,7th gen (03–10),0
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E,74.0,0.413492427700161,0.3896282698306733,0.1161083065573149,0.0812299219788329,7th-gen,10,2,7th gen (03–10),0
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,82.0,0.3336501900982105,0.4320342205117854,0.046577946765847,0.1882129277477085,7th-gen,0,2,8th gen (11+),0
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North,M,90.0,0.4531475252064801,0.0192215281105611,0.0197020663133252,0.5079288803215797,6th-gen,0,1,7th gen (03–10),0
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,E,79.0,0.2352357319982513,0.4565756823594751,0.20645161289298,0.1012406947840575,7th-gen,3,2,7th gen (03–10),0
