Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_scaled,NA_ratio,EU_ratio,JP_ratio,Other_ratio,Platform_Gen,Genre_encoded,Platform_Gen_encoded,Era
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo,E,80.0,0.5011510965648716,0.3509027020434884,0.04568035865690439,0.10238701078271673,7th-gen,10,2,7th gen (03–10)
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,,,,0.7226640158866137,0.08896620278108931,0.1692345924411224,0.01913518886632368,Retro,4,7,Retro (≤94)
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E,83.0,0.4414414414290135,0.35923423422412065,0.1067004504474465,0.09262387387126622,7th-gen,6,2,7th gen (03–10)
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo,E,80.0,0.47635032040047753,0.3335367714271121,0.10009154714372623,0.09002136099816842,7th-gen,10,2,7th gen (03–10)
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,,,,0.35926043989929035,0.2833917755727322,0.3257889703434559,0.03187759005317572,Retro,7,7,5th–6th gen (95–02)
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,,,,,0.7666886979257538,0.07468605419449152,0.13945803039856383,0.019167217448143845,Retro,5,7,Retro (≤94)
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo,E,85.0,0.37852348992018375,0.3067114093856808,0.21812080536180803,0.09664429529877032,7th-gen,4,2,7th gen (03–10)
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E,66.0,0.48271092667763793,0.3174273858811401,0.10131396956772773,0.09820193637281459,7th-gen,3,2,7th gen (03–10)
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E,84.0,0.509887005631713,0.24505649716648814,0.16596045197154094,0.07909604519494717,7th-gen,4,2,7th gen (03–10)
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,,,0.9512539738272252,0.022253620627967024,0.009890498056874234,0.016601907452610316,Retro,8,7,Retro (≤94)
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,,,,0.36684231859072386,0.44385893796336195,0.07823267125746929,0.11106607214790977,7th-gen,9,2,7th gen (03–10)
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo,E,86.0,0.41835415767262585,0.32184403273064005,0.17794054286178626,0.08186126669186293,7th-gen,6,2,7th gen (03–10)
